MAJOR
SECONDARY EDUCATION - ENGLISH LANGUAGE ARTS
SECONDARY EDUCATION - LIFE SCIENCES
SECONDARY EDUCATION - MATHEMATICS
SECONDARY EDUCATION - PHYSICS
SECONDARY EDUCATION - SOCIAL STUDIES - HISTORY
SECONDARY TEACHER EDUCATION
SOCIAL PSYCHOLOGY
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION
SOCIAL WORK
SOCIOLOGY
SOIL SCIENCE
SPANISH (MAJOR)
SPECIAL EDUCATION - LANGUAGE ART & NATURAL SCIENCE
SPECIAL EDUCATION - LANGUAGE ARTS & MATHEMATICS
SPECIAL NEEDS EDUCATION
SPORT ADMINISTRATION
STATISTICS AND DECISION SCIENCE
STUDIO ARTS
SUBSTANCE ABUSE COUNSELING
SUBSTANCE ABUSE COUNSELING - ONLINE
TEACHER EDUCATION: MULTIPLE LEVELS
THEATER DESIGN AND PRODUCTION - COSTUME DESIGN
THEATER DESIGN AND PRODUCTION - LIGHTING DESIGN
THEATER DESIGN AND PRODUCTION - SOUND DESIGN
THEATER DESIGN AND PRODUCTION - STAGE DESIGN
THEATER DESIGN AND PRODUCTION - STAGE MANAGEMENT
THEATER DESIGN AND PRODUCTION - TECHNICAL PRODUCTION
THEOLOGY AND RELIGIOUS VOCATIONS
TRANSPORTATION SCIENCES AND TECHNOLOGIES
TREATMENT THERAPY PROFESSIONS
TROMBONE
TRUMPET
TUBA
UNITED STATES HISTORY
VIOLA
VIOLIN
VIOLONCELLO
VISUAL AND PERFORMING ARTS
VOICE
"WOMEN'S, GENDER & SEXUALITY STUDIES"
ZOOLOGY
